trial
0.03, 79.28, 77.00, 0.01
0.03, 78.48, 77.00, 0.01
0.03, 77.67, 42.00, 0.14
0.03, 76.84, 76.00, 0.01
0.03, 75.98, 75.00, 0.01
0.03, 75.10, 73.00, -0.11
0.03, 74.15, 72.00, 0.01
0.03, 73.22, 72.00, 0.01
0.03, 72.28, 71.00, -0.01
0.03, 71.27, 70.00, 0.01
0.03, 70.30, 47.00, 0.48
0.03, 69.31, 68.00, -0.01
0.03, 68.27, 67.00, 0.01
0.03, 67.23, 66.00, -0.34
0.03, 66.14, 65.00, 0.01
0.03, 65.07, 64.00, 0.03
0.03, 63.99, 64.00, 0.01
0.03, 62.89, 63.00, -0.01
0.03, 61.74, 53.00, -0.01
0.03, 60.58, 59.00, 0.01
0.03, 59.44, 58.00, 0.03
0.03, 58.31, -2.00, 0.23
0.03, 57.16, 56.00, 0.01
0.03, 56.01, 56.00, 0.03
0.03, 54.86, 12.00, 0.14
0.03, 53.70, 54.00, 0.01
0.03, 52.53, 53.00, -0.01
0.03, 51.31, 51.00, 0.01
0.03, 50.14, 50.00, 0.03
0.03, 48.96, 49.00, 0.01
0.03, 47.79, 9.00, 0.16
0.03, 46.65, 47.00, -0.01
0.03, 45.43, 41.00, 0.01
0.03, 44.26, 43.00, 0.13
0.03, 43.09, 44.00, 0.08
0.03, 41.92, 4.00, 0.21
0.03, 40.81, 41.00, 0.01
0.03, 39.98, 40.00, 7.69
0.03, 39.15, 2.00, -0.14
0.03, 38.64, 38.00, 7.69
0.03, 38.46, 38.00, 7.67
0.03, 38.60, 35.00, 7.64
0.03, 38.75, 37.00, 0.11
0.03, 38.91, 37.00, 0.14
0.03, 39.41, 37.00, 7.69
0.03, 40.22, 37.00, 7.69
0.03, 41.36, 37.00, 7.69
0.03, 42.82, -4.00, 7.65
0.03, 44.32, 38.00, 0.60
0.03, 45.83, 38.00, 0.60
0.03, 47.33, 40.00, -0.28
0.03, 48.90, 42.00, 0.01
0.03, 50.41, 11.00, 0.28
0.03, 51.91, 45.00, 0.01
0.03, 53.42, 46.00, 0.03
0.03, 54.92, 5.00, 0.16
0.03, 56.36, 49.00, 0.01
0.03, 57.85, 51.00, 0.01
0.03, 59.34, 20.00, 0.14
0.03, 60.81, 55.00, 0.01
0.03, 62.28, 56.00, -0.01
0.03, 63.79, 20.00, 0.16
0.03, 65.23, 58.00, 0.01
0.03, 66.67, 59.00, 0.01
0.03, 68.09, 30.00, 0.16
0.03, 69.49, 62.00, 0.01
0.03, 70.88, 63.00, 0.03
0.03, 72.25, 64.00, -0.02
0.03, 73.65, 65.00, 0.01
0.03, 74.98, 30.00, 0.18
0.03, 76.29, 68.00, -0.01
0.03, 77.63, 69.00, 0.01
0.03, 78.90, 45.00, 0.16
0.03, 80.15, 72.00, 0.03
0.03, 81.37, 73.00, 0.03
0.03, 82.57, 53.00, 0.16
0.03, 83.75, 76.00, 0.01
0.03, 84.90, 77.00, 0.01
0.03, 86.02, 56.00, 0.13
0.03, 87.12, 78.00, 0.01
0.03, 88.20, 59.00, 0.43
0.03, 89.25, 62.00, 0.16
0.03, 90.00, 83.00, 0.03
0.05, 89.93, 61.00, 0.26
0.03, 89.86, 84.00, 0.01
0.03, 89.76, 84.00, -0.01
0.03, 89.63, 61.00, 0.18
0.03, 89.46, 84.00, -0.01
0.03, 89.26, 84.00, -0.01
0.03, 89.02, 84.00, -0.02
0.03, 88.74, 84.00, 0.01
0.03, 88.45, 60.00, 0.21
0.03, 88.14, 84.00, 0.03
0.03, 87.79, 84.00, 0.01
0.03, 87.41, 82.00, 0.16
0.03, 87.01, 84.00, 0.01
0.03, 86.57, 84.00, 0.01
0.03, 86.11, 84.00, 0.01
0.03, 85.61, 84.00, 0.03
0.03, 85.09, 84.00, -0.01
0.03, 84.51, 84.00, 0.01
0.03, 83.93, 83.00, 0.01
0.03, 83.32, 68.00, 0.03
0.03, 82.68, 80.00, -0.01
0.03, 81.99, 79.00, 0.03
0.03, 81.30, 79.00, 0.03
0.03, 80.58, 78.00, 0.01
0.03, 79.83, 78.00, 0.03
0.03, 79.06, 77.00, -0.14
0.03, 78.23, 77.00, 0.01
0.03, 77.41, 76.00, 0.03
0.03, 76.56, 75.00, 0.03
0.03, 75.69, 74.00, -0.01
0.03, 74.78, 52.00, 0.46
0.03, 73.89, 72.00, 0.01
0.03, 72.98, 72.00, 0.01
0.03, 72.04, 70.00, 0.01
0.03, 71.09, 69.00, 0.01
0.03, 70.11, 69.00, 0.01
0.03, 69.11, 68.00, -0.33
0.03, 68.04, 67.00, -0.01
0.03, 66.97, 66.00, 0.01
0.03, 65.91, 65.00, 0.01
0.03, 64.84, 64.00, 0.01
0.03, 63.75, 57.00, -0.01
0.03, 62.61, 62.00, -0.01
0.03, 61.45, 59.00, -0.01
0.03, 60.28, 58.00, -0.01
0.03, 59.10, 57.00, 0.01
0.03, 57.95, 56.00, 0.03
0.03, 56.79, 56.00, 0.03
0.03, 55.63, 55.00, 0.01
0.03, 54.46, 7.00, 0.09
0.03, 53.34, 53.00, 0.03
0.03, 52.15, 52.00, 0.01
0.03, 50.97, 50.00, 0.01
0.03, 49.78, 50.00, 0.01
0.03, 48.59, 49.00, 0.03
